               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.018833,           0.0088077,           0.0090057,             0.97794,             0.98598,             0.99294,             0.70914,            0.022636,           0.0050767,            0.001971,              0.0055,              0.0055,              0.0055
                  52,            0.018581,            0.008219,           0.0090903,             0.97372,             0.95993,             0.99066,             0.71096,            0.022326,           0.0054782,           0.0042609,           0.0053587,           0.0053587,           0.0053587
                  53,            0.018454,           0.0079407,            0.008278,             0.97995,             0.98006,             0.99455,             0.70419,             0.02326,           0.0053119,           0.0028395,           0.0052174,           0.0052174,           0.0052174
                  54,            0.018351,            0.008833,           0.0086291,             0.98358,             0.98714,               0.995,             0.76822,            0.019088,           0.0053278,           0.0028214,           0.0050765,           0.0050765,           0.0050765
                  55,            0.018602,           0.0089079,           0.0085216,              0.9927,             0.99426,               0.995,             0.73386,            0.020528,           0.0048599,            0.001539,            0.004936,            0.004936,            0.004936
                  56,            0.018493,           0.0091858,           0.0082122,             0.99128,               0.995,             0.99476,             0.74302,            0.020357,           0.0047114,           0.0016342,            0.004796,            0.004796,            0.004796
                  57,            0.017315,           0.0085508,           0.0083749,             0.97598,             0.97908,               0.995,             0.72127,            0.021421,           0.0049956,           0.0028417,           0.0046568,           0.0046568,           0.0046568
                  58,            0.017461,           0.0075208,            0.007841,             0.96174,             0.96257,             0.98112,             0.69557,            0.024239,            0.005511,           0.0028361,           0.0045184,           0.0045184,           0.0045184
                  59,            0.017115,           0.0075222,           0.0082996,             0.98922,             0.98729,             0.99263,             0.77251,            0.019129,           0.0047106,           0.0019213,           0.0043809,           0.0043809,           0.0043809
                  60,            0.016716,           0.0079505,           0.0081515,             0.98248,             0.95414,             0.99326,             0.72941,            0.020128,            0.005147,           0.0033249,           0.0042445,           0.0042445,           0.0042445
                  61,            0.016528,           0.0071679,            0.007776,             0.98529,             0.96253,               0.995,             0.70704,            0.023854,           0.0056567,           0.0036136,           0.0041094,           0.0041094,           0.0041094
                  62,            0.016622,           0.0073068,           0.0073815,             0.97374,             0.97808,               0.995,             0.74529,            0.021367,           0.0052103,           0.0022249,           0.0039757,           0.0039757,           0.0039757
                  63,            0.017209,           0.0089324,            0.007496,             0.98426,             0.98164,               0.995,             0.72654,            0.023202,           0.0051405,            0.001639,           0.0038434,           0.0038434,           0.0038434
                  64,            0.016255,           0.0084069,           0.0067879,             0.99587,             0.99312,               0.995,             0.71061,            0.021579,           0.0056133,           0.0009648,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015889,           0.0066649,           0.0083664,             0.99315,             0.98686,               0.995,             0.72988,             0.02211,           0.0052063,           0.0011383,            0.003584,            0.003584,            0.003584
                  66,            0.016076,           0.0091056,            0.006933,             0.99068,             0.98856,               0.995,             0.73001,            0.021153,           0.0053448,           0.0014041,            0.003457,            0.003457,            0.003457
                  67,            0.016053,           0.0079664,           0.0077213,             0.97274,             0.97882,             0.99233,             0.74418,            0.019969,           0.0047548,           0.0021777,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015614,           0.0084283,           0.0069007,              0.9893,             0.98753,             0.99333,             0.71634,            0.021467,           0.0051529,            0.001357,           0.0032093,           0.0032093,           0.0032093
                  69,            0.015807,           0.0077902,           0.0061078,             0.98031,             0.97598,             0.99233,             0.73744,            0.020295,           0.0052663,           0.0021799,           0.0030888,           0.0030888,           0.0030888
                  70,            0.015027,           0.0069648,           0.0065321,             0.98525,             0.98425,             0.99431,             0.68627,            0.022872,           0.0055679,           0.0017279,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014851,           0.0070706,           0.0062142,              0.9901,             0.98985,               0.995,             0.74668,             0.01995,           0.0053924,           0.0010529,            0.002855,            0.002855,            0.002855
                  72,            0.015164,           0.0082483,           0.0070231,             0.98997,             0.98118,               0.995,             0.76213,            0.019244,            0.005081,           0.0015969,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014781,           0.0076087,           0.0065867,             0.98091,             0.98202,             0.99476,             0.73949,             0.02061,           0.0052138,            0.001712,           0.0026316,           0.0026316,           0.0026316
